[0.017s] Invoking command in '/home/azraa/ros2_ws/build/my_robot_bringup': AMENT_PREFIX_PATH=/home/azraa/ros2_ws/install/my_py_pkg:/home/azraa/ros2_ws/install/my_robot_bringup:/home/azraa/ros2_ws/install/my_cpp_pkg:/home/azraa/ros2_ws/install/my_robot_interfaces:/opt/ros/foxy CMAKE_PREFIX_PATH=/home/azraa/ros2_ws/install/my_cpp_pkg:/home/azraa/ros2_ws/install/my_robot_interfaces:/home/azraa/ros2_ws/install/my_robot_bringup:/home/azraa/ros2_ws/install/my_py_pkg:/opt/ros/foxy /usr/bin/cmake --build /home/azraa/ros2_ws/build/my_robot_bringup -- -j4 -l4
[0.063s] Invoked command in '/home/azraa/ros2_ws/build/my_robot_bringup' returned '0': AMENT_PREFIX_PATH=/home/azraa/ros2_ws/install/my_py_pkg:/home/azraa/ros2_ws/install/my_robot_bringup:/home/azraa/ros2_ws/install/my_cpp_pkg:/home/azraa/ros2_ws/install/my_robot_interfaces:/opt/ros/foxy CMAKE_PREFIX_PATH=/home/azraa/ros2_ws/install/my_cpp_pkg:/home/azraa/ros2_ws/install/my_robot_interfaces:/home/azraa/ros2_ws/install/my_robot_bringup:/home/azraa/ros2_ws/install/my_py_pkg:/opt/ros/foxy /usr/bin/cmake --build /home/azraa/ros2_ws/build/my_robot_bringup -- -j4 -l4
[0.096s] Invoking command in '/home/azraa/ros2_ws/build/my_robot_bringup': AMENT_PREFIX_PATH=/home/azraa/ros2_ws/install/my_py_pkg:/home/azraa/ros2_ws/install/my_robot_bringup:/home/azraa/ros2_ws/install/my_cpp_pkg:/home/azraa/ros2_ws/install/my_robot_interfaces:/opt/ros/foxy CMAKE_PREFIX_PATH=/home/azraa/ros2_ws/install/my_cpp_pkg:/home/azraa/ros2_ws/install/my_robot_interfaces:/home/azraa/ros2_ws/install/my_robot_bringup:/home/azraa/ros2_ws/install/my_py_pkg:/opt/ros/foxy /usr/bin/cmake --install /home/azraa/ros2_ws/build/my_robot_bringup
[0.113s] CMake Warning (dev) at ament_cmake_symlink_install/ament_cmake_symlink_install.cmake:62 (file):
[0.113s]   Policy CMP0009 is not set: FILE GLOB_RECURSE calls should not follow
[0.113s]   symlinks by default.  Run "cmake --help-policy CMP0009" for policy details.
[0.113s]   Use the cmake_policy command to set the policy and suppress this warning.
[0.113s] Call Stack (most recent call first):
[0.113s]   ament_cmake_symlink_install/ament_cmake_symlink_install.cmake:314 (ament_cmake_symlink_install_directory)
[0.113s]   cmake_install.cmake:41 (include)
[0.113s] This warning is for project developers.  Use -Wno-dev to suppress it.
[0.113s] 
[0.117s] -- Install configuration: ""
[0.120s] -- Up-to-date symlink: /home/azraa/ros2_ws/install/my_robot_bringup/share/my_robot_bringup/launch/log/latest/logger_all.log
[0.120s] -- Up-to-date symlink: /home/azraa/ros2_ws/install/my_robot_bringup/share/my_robot_bringup/launch/log/latest_build/events.log
[0.120s] -- Up-to-date symlink: /home/azraa/ros2_ws/install/my_robot_bringup/share/my_robot_bringup/launch/log/latest_build/logger_all.log
[0.120s] -- Up-to-date symlink: /home/azraa/ros2_ws/install/my_robot_bringup/share/my_robot_bringup/launch/number_app.launch.py
[0.120s] -- Up-to-date symlink: /home/azraa/ros2_ws/install/my_robot_bringup/share/my_robot_bringup/launch/robot_news_station.launch.py
[0.120s] -- Up-to-date symlink: /home/azraa/ros2_ws/install/my_robot_bringup/share/my_robot_bringup/launch/webcam.launch.xml
[0.120s] -- Up-to-date symlink: /home/azraa/ros2_ws/install/my_robot_bringup/share/ament_index/resource_index/package_run_dependencies/my_robot_bringup
[0.121s] -- Up-to-date symlink: /home/azraa/ros2_ws/install/my_robot_bringup/share/ament_index/resource_index/parent_prefix_path/my_robot_bringup
[0.121s] -- Up-to-date symlink: /home/azraa/ros2_ws/install/my_robot_bringup/share/my_robot_bringup/environment/ament_prefix_path.sh
[0.121s] -- Up-to-date symlink: /home/azraa/ros2_ws/install/my_robot_bringup/share/my_robot_bringup/environment/ament_prefix_path.dsv
[0.121s] -- Up-to-date symlink: /home/azraa/ros2_ws/install/my_robot_bringup/share/my_robot_bringup/environment/path.sh
[0.121s] -- Up-to-date symlink: /home/azraa/ros2_ws/install/my_robot_bringup/share/my_robot_bringup/environment/path.dsv
[0.122s] -- Up-to-date symlink: /home/azraa/ros2_ws/install/my_robot_bringup/share/my_robot_bringup/local_setup.bash
[0.122s] -- Up-to-date symlink: /home/azraa/ros2_ws/install/my_robot_bringup/share/my_robot_bringup/local_setup.sh
[0.122s] -- Up-to-date symlink: /home/azraa/ros2_ws/install/my_robot_bringup/share/my_robot_bringup/local_setup.zsh
[0.122s] -- Up-to-date symlink: /home/azraa/ros2_ws/install/my_robot_bringup/share/my_robot_bringup/local_setup.dsv
[0.122s] -- Symlinking: /home/azraa/ros2_ws/install/my_robot_bringup/share/my_robot_bringup/package.dsv
[0.134s] -- Up-to-date symlink: /home/azraa/ros2_ws/install/my_robot_bringup/share/ament_index/resource_index/packages/my_robot_bringup
[0.134s] -- Up-to-date symlink: /home/azraa/ros2_ws/install/my_robot_bringup/share/my_robot_bringup/cmake/my_robot_bringupConfig.cmake
[0.134s] -- Up-to-date symlink: /home/azraa/ros2_ws/install/my_robot_bringup/share/my_robot_bringup/cmake/my_robot_bringupConfig-version.cmake
[0.135s] -- Up-to-date symlink: /home/azraa/ros2_ws/install/my_robot_bringup/share/my_robot_bringup/package.xml
[0.142s] Invoked command in '/home/azraa/ros2_ws/build/my_robot_bringup' returned '0': AMENT_PREFIX_PATH=/home/azraa/ros2_ws/install/my_py_pkg:/home/azraa/ros2_ws/install/my_robot_bringup:/home/azraa/ros2_ws/install/my_cpp_pkg:/home/azraa/ros2_ws/install/my_robot_interfaces:/opt/ros/foxy CMAKE_PREFIX_PATH=/home/azraa/ros2_ws/install/my_cpp_pkg:/home/azraa/ros2_ws/install/my_robot_interfaces:/home/azraa/ros2_ws/install/my_robot_bringup:/home/azraa/ros2_ws/install/my_py_pkg:/opt/ros/foxy /usr/bin/cmake --install /home/azraa/ros2_ws/build/my_robot_bringup
